Nom, marque,CATEGORY, code sous-cateogru, unite,cout,PRIX,QUANTITE,QANTITE ALERT, code-hsn, code isbn,Image, details(virgule interdite),frais supplementaire,"	frais suplementaires 2mois","	frais suplementaires 3 mois",frais penalite 1 mois,frais penalite 2mois,frais penalite 3 mois
bolducs bobine metallisee 25x10mm bordeau,,papeterie,,pc,7800,7800,3,0,,,15419.jpg,,,,,,,
bolducs bobine metallisee 25x10mm jaune,,papeterie,,pc,7800,7800,1,0,,,15421.jpg,,,,,,,
bolduc bobine metallisee 250mx7 violet,,papeterie,,pc,5000,5000,19,2,,,15422.jpg,,,,,,,
ficelle bobine polypro 220m,,papeterie,,pc,3150,3150,6,1,,,15425.jpg,,,,,,,
fiche bristol blanche a4 q5,,papeterie,,pc,4700,4700,849,85,,,15427.jpg,,,,,,,
etui de 10x105x148mm,,papeterie,,pc,1750,1750,8,1,,,15439.jpg,,,,,,,
fiche bristol blanc 75x100,,papeterie,,pc,1150,1150,9,1,,,15441.jpg,,,,,,,
rouleaux cadeau alliance 50x70 patchhwork sapi,,papeterie,,pc,22050,22050,1,0,,,15445.jpg,,,,,,,
rouleaux cadeau nature 50x70 assorti noel 5,,papeterie,,pc,29400,29400,6,1,,,15446.jpg,,,,,,,
rouleaux cadeau excellia 80g 50x70m pios blc fond,,papeterie,,pc,24550,24550,1,0,,,15447.jpg,,,,,,,
craie couleur etui 10 color+,,papeterie,,pc,750,750,160,16,,,15451.jpg,,,,,,,
rouleaux soie 20g 50x500 rose,,papeterie,,pc,2000,2000,1,0,,,15453.jpg,,,,,,,
rouleaux kraft 64g 68x300 violet,,papeterie,,pc,1700,1700,3,0,,,15456.jpg,,,,,,,
rouleaux kraft 64g 68x300 bleu,,papeterie,,pc,1650,1650,8,1,,,15457.jpg,,,,,,,
rouleaux canson 68x300 kraft noir 65g,,papeterie,,pc,1650,1650,54,5,,,15459.jpg,,,,,,,
pochette kraft radio 375x20g,,papeterie,,pc,200,200,181,18,,,15460.jpg,,,,,,,
etiquette blanche jet d encre laser copy 105x2.4 boite,,papeterie,,pc,60650,60650,10,1,,,15462.jpg,,,,,,,
enveloppe fuchsia gomme 162x229x20g paquet 20,,papeterie,,pc,5500,5500,161,16,,,15474.jpg,,,,,,,
enveloppe gomme blanc 135x10x20g paquet 20,,papeterie,,pc,5250,5250,10,1,,,15478.jpg,,,,,,,
enveloppe fuchsia gomme 165x20g paquet 20,,papeterie,,pc,4850,4850,49,5,,,15479.jpg,,,,,,,
enveloppe bleu lavande 110x20 adhes 120g paquet 20,,papeterie,,pc,3850,3850,53,5,,,15481.jpg,,,,,,,
enveloppe turquoise 110x20 adhes 120g paquet 20,,papeterie,,pc,3850,3850,34,3,,,15482.jpg,,,,,,,
enveloppe gomme grqseille 140x140. 120g paquet 20,,papeterie,,pc,3850,3850,139,14,,,15486.jpg,,,,,,,
enveloppe ivoire gomme 140x140 120g paquet 20,,papeterie,,pc,3850,3850,61,6,,,15487.jpg,,,,,,,
enveloppe capucine 110x20 adhes 120g paquet 20,,papeterie,,pc,3850,3850,73,7,,,15488.jpg,,,,,,,
enveloppe ivoire 110x20 adhes 120g paquet 20,,papeterie,,pc,3850,3850,4,0,,,15489.jpg,,,,,,,
etiquette blanc 21x12 rl1000,,papeterie,,pc,1150,1150,355,36,,,15500.jpg,,,,,,,
"pochette papier vitrail   09x2-700 21x29,70",,papeterie,,pc,1550,1550,6,1,,,15501.jpg,,,,,,,
pochette air kraft blanc 35x20,,papeterie,,pc,600,600,107,11,,,15503.jpg,,,,,,,
coffret vide pour carte de visite 82x128,,papeterie,,pc,1100,1100,122,12,,,15504.jpg,,,,,,,
etiquette bij avec fil blanc 9x24 lot 100. 000384,,papeterie,,pc,1050,1050,66,7,,,15505.jpg,,,,,,,
