Nom, marque,CATEGORY, code sous-cateogru, unite,cout,PRIX,QUANTITE,QANTITE ALERT, code-hsn, code isbn,Image, details(virgule interdite),frais supplementaire,"	frais suplementaires 2mois","	frais suplementaires 3 mois",frais penalite 1 mois,frais penalite 2mois,frais penalite 3 mois
protege cahier 24*32 luxe vert clair   515 16,,papeterie,,pc,1000,1000,16,2,,,2771.jpg,,,,,,,
carnet repertoire integrale 110*170 180 pages q5*5   90grs,,papeterie,,pc,3250,3250,10,1,,,2773.jpg,,,,,,,
carnet pique 9*14 96pages q5*5 70grs   nf6 68c,,papeterie,,pc,450,450,34,4,,,2774.jpg,,,,,,,
carnet broche 90*140. 192 q5*5   90g,,papeterie,,pc,2350,2350,3,1,,,2775.jpg,,,,,,,
cahier pique 24*32 96p seyes,,papeterie,,pc,1100,1100,96,10,,,2776.jpg,,,,,,,
protege cahier a4 orange     011019-orange,,papeterie,,pc,490,490,2267,227,,,2777.jpg,,,,,,,
rouleau papier soie 50*75cm 954***,,papeterie,,pc,1550,1550,1157,116,,,2778.jpg,,,,,,,
agenda travers asstis,,papeterie,,pc,5700,5700,10,1,,,2781.jpg,,,,,,,
fiche bristol a4 blanc paquet100,,papeterie,,pc,4500,4500,12,2,,,2784.jpg,,,,,,,
protege cahier 17*22 violet,,papeterie,,pc,200,200,1318,132,,,2785.jpg,,,,,,,
protege cahier 17*22 vert fonce,,papeterie,,pc,200,200,1284,129,,,2786.jpg,,,,,,,
protege cahier 17*22 jaune,,papeterie,,pc,200,200,1327,133,,,2787.jpg,,,,,,,
cahier oxford spirale 170*220 180p 90g seyes polypro,,papeterie,,pc,3900,3900,67,7,,,2800.jpg,,,,,,,
protege cahier 24*32 luxe rouge,,papeterie,,pc,700,700,214,22,,,2803.jpg,,,,,,,
protege cahier 24*32 luxe jaune,,papeterie,,pc,700,700,265,27,,,2804.jpg,,,,,,,
protege cahier 24*32 luxe bleu fonce515-04,,papeterie,,pc,700,700,115,12,,,2805.jpg,,,,,,,
cahier pique 17*22 32pages 90grs seyes,,papeterie,,pc,300,300,167,17,,,2806.jpg,,,,,,,
